Source,CH1,CH2
Second,Volt,Volt
-0.19999998808,0.24000,0.00800
-0.19995999336,0.32000,0.00800
-0.19991999865,0.48000,0.00800
-0.19987998903,0.64000,0.00800
-0.19983999431,0.72000,0.00800
-0.19979999959,0.80000,0.00800
-0.19975998998,0.88000,0.00800
-0.19971999526,0.96000,0.00800
-0.19968000054,1.12000,0.00800
-0.19963999093,1.28000,0.00800
-0.19959999621,1.36000,0.00800
-0.19956000149,1.36000,0.00800
-0.19951999187,1.44000,0.00800
-0.19947999716,1.60000,0.00400
-0.19943998754,1.76000,0.00800
-0.19939999282,1.76000,0.00800
-0.19935999811,1.92000,0.00800
-0.19931998849,2.08000,0.00800
-0.19927999377,2.16000,0.00800
-0.19923999906,2.24000,0.00800
-0.19919998944,2.40000,0.00800
-0.19915999472,2.56000,0.00800
-0.19912000000,2.72000,0.01200
-0.19907999039,2.72000,0.00800
-0.19903999567,2.88000,0.01200
-0.19900000095,2.96000,0.00800
-0.19895999134,3.12000,0.00800
-0.19891999662,3.28000,0.01200
-0.19888000190,3.36000,0.01200
-0.19883999228,3.44000,0.00800
-0.19879999757,3.52000,0.00800
-0.19875998795,3.68000,0.01200
-0.19871999323,3.84000,0.00800
-0.19867999852,4.00000,0.01200
-0.19863998890,4.08000,0.01200
-0.19859999418,4.16000,0.00800
-0.19855999947,4.32000,0.01200
-0.19851998985,4.40000,0.00800
-0.19847999513,4.56000,0.01200
-0.19844000041,4.64000,0.01200
-0.19839999080,4.80000,0.01200
-0.19835999608,4.80000,0.01200
-0.19832000136,4.96000,0.01200
-0.19827999175,4.96000,0.01200
-0.19823999703,5.12000,0.01200
-0.19820000231,5.20000,0.01200
-0.19815999269,5.28000,0.01600
-0.19811999798,5.28000,0.01200
-0.19807998836,5.36000,0.01200
-0.19803999364,5.44000,0.01200
-0.19799999893,5.60000,0.01200
-0.19795998931,5.76000,0.01200
-0.19791999459,5.76000,0.01200
-0.19787999988,5.84000,0.01600
-0.19783999026,5.92000,0.01200
-0.19779999554,6.08000,0.01600
-0.19776000082,6.08000,0.01200
-0.19771999121,6.24000,0.01200
-0.19767999649,6.24000,0.01200
-0.19764000177,6.40000,0.01200
-0.19759999216,6.56000,0.01200
-0.19755999744,6.56000,0.01200
-0.19751998782,6.64000,0.01200
-0.19747999310,6.72000,0.01200
-0.19743999839,6.88000,0.01200
-0.19739998877,6.88000,0.01600
-0.19735999405,7.04000,0.01600
-0.19731999934,7.12000,0.01200
-0.19727998972,7.20000,0.01600
-0.19723999500,7.28000,0.01200
-0.19720000029,7.36000,0.01600
-0.19715999067,7.44000,0.01600
-0.19711999595,7.52000,0.01600
-0.19708000124,7.52000,0.01200
-0.19703999162,7.68000,0.01600
-0.19699999690,7.68000,0.01600
-0.19696000218,7.76000,0.01600
